CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;Fazenda Neomille 1 - Futuro Parque Industrial da Neomille;Brasil;MS;Maracaju;Própria
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;Fazenda Neomille 2 - Área para futuro plantio de milho;Brasil;MS;Maracaju;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Paulínia: Av. Sidney Cardon de Oliveira, 2365, Bairro Cascata;Brasil;SP;Paulínia;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional São Paulo: Av. Presidente Wilson, 6352, Vila Independência;Brasil;SP;São Paulo;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Aeroporto de Guarulhos: Av. Jamil João Zarif, s/nº, CEP 07141-970;Brasil;SP;Guarulhos;
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Barueri: Av. Marginal Projetada, 2, Bairro Tamboré;Brasil;SP;Barueri;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Betim: Rodovia Fernão Dias, Km 427,5 , Bairro Citrolândia;Brasil;MG;Betim;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Araucária: Rod. do Xisto - BR 476, Km 15.08 , Jardim Alvorada;Brasil;PR;Araucária;
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional São Francisco do Conde: Rod Estação Candeias Madre de Deus S/N,;Brasil;BA;São Francisco do Conde;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Porto Nacional: Ferrovia Norte Sul - EF 151, Lote 14;Brasil;TO;Porto Nacional;
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Esteio: Av Presidente Vargas, 4016, Centro;Brasil;RS;Esteio;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Base Operacional Rondonópolis: Rodovia BR 163, KM 95, S/N;Brasil;MT;Rondonópolis;Própria
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Escritório Administrativo: R. Cezira Giovanoni Moretti 900, Santa Rosa;Brasil;SP;Piracicaba;Alugada
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Escritório Comercial: Edf Office Reserva Jequitibá, R. Cezira Giovanoni Moretti;Brasil;SP;Piracicaba;Alugada
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;Escritório Administrativo: Avenida Brigadeiro Faria Lima, 4.100 - 11º andar;Brasil;SP;São Paulo;Alugada
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Máquinas e Implementos Agricolas;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Moveis e Utensilios;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Moveis e Utensilios;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e Depedências;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Máquinas e Implementos Agrícolas;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Máquinas e Implementos Agrícolas;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Máquinas e implementos agrícolas;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e dependências;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e dependências;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Motuca;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Moveis Utensilios;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Moveis Utensilios;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Benfeitorias em Poder de 3ºs;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Veículos e acessórios;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e Dependências;Brasil;SP;Motuca;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificicações e Dependências;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Lavoura de Cana;Brasil;SP;;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Lavoura de Cana;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Benfeitorias em Poder de 3ºs;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Veículos e acessórios;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Veículos e acessórios;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Veículos e acessórios;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Aeronaves;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e Dependências;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Terras;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Imobilizado em Andamento;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Edificações e Depedências;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Moveis Utensilios;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Pradópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Iracemápolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Américo Brasiliense;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e instalações industriais;Brasil;SP;Motuca;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e processamento de dados;Brasil;SP;;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Equipamentos e processamento de dados;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Florestamento e reflorestamento;Brasil;SP;Nazaré do Piauí;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Imobilizado em Andamento;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Florestamento e reflorestamento;Brasil;GO;Quirinópolis;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Imobilizado em Andamento;Brasil;SP;;Própria
51.466.860/0001-56;2023-03-31;7;129782;SAO MARTINHO S.A.;Máquinas e Implementos Agricolas;Brasil;SP;Motuca;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;Buritinópolis;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
