CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;183;278;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;35;69;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;1444;2172;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;224;320;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Centro-Oeste;204;734;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Exterior;0;0;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Nordeste;1847;8136;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Norte;0;0;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sudeste;905;3563;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sul;1;16;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;1;0;0;0;1
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Centro-Oeste;35;162;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Exterior;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Nordeste;9;168;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Norte;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sudeste;358;1663;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sul;519;2637;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Centro-Oeste;210;1051;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Exterior;0;0;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Nordeste;0;0;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Norte;2;4;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sudeste;323;3132;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sul;432;3160;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Exterior;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Nordeste;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Norte;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sudeste;924;5529;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sul;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Centro-Oeste;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Exterior;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Nordeste;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Norte;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sudeste;194;271;0;2;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sul;1;1;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;0;0;2
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;24;72;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;84;255;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;19;71;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;1816;2476;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;169;645;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;123;954;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Nordeste;157;983;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Norte;67;458;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sudeste;581;2759;0;0;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Sul;442;1871;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Centro-Oeste;8893;11385;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Exterior;2601;4439;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Nordeste;584;2801;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Norte;87;185;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sudeste;5767;9583;0;0;0
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Sul;23299;26599;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Exterior;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Norte;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Sul;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Centro-Oeste;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Exterior;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Nordeste;1117;524;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Norte;0;0;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sudeste;2452;1077;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Sul;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Exterior;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Nordeste;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Norte;0;0;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sudeste;13;191;0;0;0
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Sul;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;10;14;0;6;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0;0;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;2;1;0;1;0
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sudeste;1;4;0;0;0
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Centro-Oeste;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Exterior;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Nordeste;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Norte;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sudeste;0;0;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Sul;0;0;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Centro-Oeste;56;67;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Exterior;113;95;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Nordeste;128;122;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Norte;21;13;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Sudeste;7408;5164;14;0;3
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Sul;117;134;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Exterior;0;0;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Nordeste;0;0;0;0;2
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Norte;0;0;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;Sul;0;0;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Exterior;0;0;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Nordeste;0;0;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Norte;0;0;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Sudeste;82;532;0;0;0
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Sul;32;185;0;0;0
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;Centro-Oeste;0;0;0;0;0
