CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
02.031.413/0001-69;2023-12-31;7;135946;PETRO RIO JAGUAR PETRÓLEO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-12-29
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;0;1;3;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;0;1;1;0;0.000000;0;0.000000;0;0.000000;2023-12-27
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;126938;448;695;181531496;28.075000;0;0.000000;181531496;28.075000;2022-03-31
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;8805;501;59;88241730;100.000000;5406424;93.670000;93648154;99.611000;2023-04-28
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;4;4;0;2609000;100.000000;30;100.000000;2609030;100.000000;2012-04-30
02.217.319/0001-07;2023-12-31;5;135772;YBYRÁ CAPITAL S.A.;2;2;0;0;0.000000;81605950;70.004000;81605950;35.002000;2023-04-27
02.255.187/0001-08;2023-12-31;8;136653;UNIFIQUE TELECOMUNICAÇÕES S.A.;14306;110;112;90360022;24.958000;0;0.000000;90360022;24.958000;2023-04-28
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;0;1;0;0;0.000000;0;0.000000;0;0.000000;2012-05-03
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;0;7;0;28313622;100.000000;27649471;100.000000;55963093;100.000000;2022-11-11
02.286.479/0001-08;2023-12-31;6;133773;LOCALIZA FLEET S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.291.077/0001-93;2023-12-31;2;129159;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;0;1;5;45000;45.000000;0;0.000000;45000;45.000000;2022-04-29
02.302.100/0001-06;2023-12-31;3;134202;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;19253;1696;62;1096;0.007000;22189646;99.766000;22190742;60.061000;2023-04-14
02.328.280/0001-97;2023-12-31;9;135991;ELEKTRO REDES S.A.;1702;15;8;25147;0.027000;598697;0.588000;623844;0.322000;2024-04-12
02.338.534/0001-58;2023-12-31;2;135907;LONGDIS S.A.;3;3;0;24013;0.495000;0;0.000000;24013;0.495000;2023-01-12
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;11823;72;221;32001379;48.485000;0;0.000000;32001379;48.485000;2024-04-11
02.351.877/0001-52;2023-12-31;27;136130;LWSA S/A;47968;1062;1062;428737358;71.829000;0;0.000000;428737358;71.829000;2023-04-28
02.357.251/0001-53;2023-12-31;6;136120;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;0;4;0;0;0.000000;0;0.000000;0;0.000000;2022-04-25
02.365.069/0001-44;2023-12-31;6;135744;PADTEC HOLDING S.A.;5340;38;20;35211741;44.308000;0;0.000000;35211741;44.308000;2023-04-28
02.382.073/0001-10;2023-12-31;5;136556;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;0;2;0;1;0.000000;0;0.000000;1;0.000000;2023-04-28
