CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;0;1;1;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0;0;0;0;0
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;1;105;5;18;0;0;4
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0;0;0;0;0
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;0;0;0;0;0;0;5
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;0;0;0;0;0;0;4
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;0;0;0;0;0;0;45
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;0;0;0;0;0;0;4
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;0;0;0;0;0;0;63
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;0;0;0;0;0;0;143
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Exterior;0;0;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Nordeste;0;0;0;0;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Norte;1;21;3;19;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sudeste;1;18;2;2;0;0;0
00.644.907/0001-93;2023-12-31;2;135558;INVESTCO S.A.;Sul;0;0;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;2
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0;0;0;0;0
00.743.065/0001-27;2023-12-31;6;135452;LITEL PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;25;370;206;1640;1;0;1
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0;0;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;74;834;508;5687;9;0;14
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;20;163;100;1844;2;0;1
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;593;8387;3430;16614;42;0;231
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;10;1843;171;801;2;0;7
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Centro-Oeste;52;1579;466;2357;11;0;41
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Exterior;0;0;0;0;0;0;0
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Nordeste;51;1392;276;2183;7;0;21
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Norte;69;840;373;2442;14;0;79
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sudeste;26;3007;319;827;0;0;19
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Sul;0;71;2;8;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;1;66;17;103;0;0;1
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0;0;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;3;66;91;230;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0;0;0;0;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;46;1498;450;2205;6;0;6
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0;0;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sudeste;0;21;0;10;0;0;0
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0;0;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;11;169;25;115;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0;0;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;7;216;39;199;0;0;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;2;47;6;48;1;0;0
