CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;a;Patrimônio Líquido;791123000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;b;Ativo Total;929511000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;421455000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;d;Resultado Bruto;284086000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;e;Resultado Líquido;185260000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;f;Número de Ações, Ex-Tesouraria;320748000.00000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;g;Valor Patrimonial da Ação (Reais Unidade);16.30000000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;h;Resultado Básico por Ação;0.41780000;Consolidado;Real;Unidade
06.981.381/0001-13;2023-03-31;9;129306;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;i;Resultado Diluído por Ação;0.42000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;a;Patrimônio Líquido;1121569000.00000000;Consolidado;Real;Unidade
