CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364122;Preferencial Classe B;353008;0.510000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364143;Preferencial Classe A;567629;0.696000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364143;Preferencial Classe B;483248;0.699000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364144;Preferencial Classe A;81588066;100.000000
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;7364144;Preferencial Classe B;69178752;100.000000
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7375485;Ordinária Classe O;899481094;100.000000
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7375486;Ordinária Classe O;899481094;100.000000
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7375488;Ordinária Classe O;1;100.000000
01.543.032/0001-04;2023-12-31;5;136704;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7375489;Ordinária Classe O;1;100.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367200;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367201;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367202;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367205;;0;100.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367403;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367404;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367405;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367408;;0;100.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367509;;0;0.000000
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;7367510;;0;100.000000
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;7393026;Ordinária Classe A;38654302;100.000000
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;7393033;Ordinária Classe A;38654302;100.000000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388741;Ordinária Classe A;45446;0.131000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388758;Ordinária Classe A;15385992;44.475000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388771;Ordinária Classe A;70364;0.203000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388772;Ordinária Classe A;3588400;10.373000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388776;Ordinária Classe A;567072;1.639000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388777;Ordinária Classe A;14937526;43.179000
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;7388778;Ordinária Classe A;34594800;100.000000
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;7385699;Preferencial Classe A;0;0.000000
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;7385700;Preferencial Classe A;0;100.000000
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;7396667;Preferencial Classe A;2156054330;100.000000
02.041.460/0001-93;2023-12-31;6;137864;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;7396668;Preferencial Classe A;2156054330;100.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283713;Ordinária Classe A;1929000;73.936000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283718;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283719;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283720;Ordinária Classe A;680000;26.064000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283721;Preferencial Classe B;1;10.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283723;Preferencial Classe A;20;100.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283723;Preferencial Classe B;7;70.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283724;Ordinária Classe A;2609000;100.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283724;Preferencial Classe B;10;100.000000
02.201.787/0001-85;2023-12-31;4;133316;CEL PARTICIPAÇÕES S.A. - CELPAR;7283724;Preferencial Classe A;20;100.000000
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7342062;Preferencial Classe A;459065;42.098000
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7342105;Preferencial Classe A;631400;57.902000
02.258.422/0001-97;2023-12-31;3;135398;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;7342108;Preferencial Classe A;1090465;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105265;Preferencial Classe B;501789;5.598000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105265;Ordinária Classe B;26382163;99.215000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105314;Preferencial Classe A;18686075;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105314;Ordinária Classe A;1722716;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105322;Preferencial Classe B;918906;10.252000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105326;Preferencial Classe B;3223271;35.960000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105326;Ordinária Classe B;208743;0.785000
